indice_tiempo,clasificacion_vuelo,pasajeros,asientos,vuelos
2017-03-03,Cabotaje,33686,45168,356
2017-03-03,Internacional,41394,48732,242
2017-03-04,Cabotaje,29988,39585,305
2017-03-04,Internacional,46411,55023,269
2017-03-05,Cabotaje,30106,38091,288
2017-03-05,Internacional,43842,49955,253
2017-03-06,Cabotaje,33171,46587,368
2017-03-06,Internacional,45595,53837,260
2017-03-07,Cabotaje,29858,45480,340
2017-03-07,Internacional,36427,43667,221
2017-03-08,Cabotaje,30666,43582,337
2017-03-08,Internacional,40405,48251,238
2017-03-09,Cabotaje,33378,44854,354
2017-03-09,Internacional,36834,46474,230
2017-03-10,Cabotaje,35047,45739,362
2017-03-10,Internacional,39972,46179,231
2017-03-11,Cabotaje,28562,39949,300
2017-03-11,Internacional,45790,55145,272
2017-03-12,Cabotaje,28929,37647,286
2017-03-12,Internacional,42803,49146,248
2017-03-13,Cabotaje,34679,45758,358
2017-03-13,Internacional,42082,50643,246
2017-03-14,Cabotaje,31577,45304,342
2017-03-14,Internacional,35971,43105,217
2017-03-15,Cabotaje,32054,44197,340
2017-03-15,Internacional,38565,47077,233
2017-03-16,Cabotaje,34932,45568,364
2017-03-16,Internacional,39892,47383,236
2017-03-17,Cabotaje,35054,44842,347
2017-03-17,Internacional,41090,46965,234
2017-03-18,Cabotaje,28994,39682,304
2017-03-18,Internacional,45023,52439,258
2017-03-19,Cabotaje,29641,38325,294
2017-03-19,Internacional,43698,49410,248
2017-03-20,Cabotaje,35092,47191,374
2017-03-20,Internacional,42975,50824,249
2017-03-21,Cabotaje,31166,45227,338
2017-03-21,Internacional,35908,43743,219
2017-03-22,Cabotaje,33534,44205,342
2017-03-22,Internacional,40729,48350,237
2017-03-23,Cabotaje,36517,45881,370
2017-03-23,Internacional,38910,45349,228
2017-03-24,Cabotaje,30961,41681,320
2017-03-24,Internacional,40733,46260,236
2017-03-25,Cabotaje,24563,34255,259
2017-03-25,Internacional,43158,53489,261
2017-03-26,Cabotaje,30056,37749,288
2017-03-26,Internacional,41660,47781,243
2017-03-27,Cabotaje,36231,47099,364
2017-03-27,Internacional,43726,51784,255
2017-03-28,Cabotaje,25403,35548,281
2017-03-28,Internacional,33453,41859,207
2017-03-29,Cabotaje,32741,42972,334
2017-03-29,Internacional,38001,48621,240
2017-03-30,Cabotaje,31956,42091,326
2017-03-30,Internacional,36505,46427,231
2017-03-31,Cabotaje,31969,42788,324
2017-03-31,Internacional,37628,43613,223
2017-04-01,Cabotaje,26208,36840,279
2017-04-01,Internacional,42850,50299,246
2017-04-02,Cabotaje,29467,38404,291
2017-04-02,Internacional,41903,47227,238
2017-04-03,Cabotaje,33579,43420,345
2017-04-03,Internacional,42939,50664,244
2017-04-04,Cabotaje,29364,41276,319
2017-04-04,Internacional,35569,41737,210
2017-04-05,Cabotaje,35010,42922,329
2017-04-05,Internacional,42520,48666,243
2017-04-06,Cabotaje,23,48,1
2017-04-06,Internacional,386,397,2
2017-04-07,Cabotaje,35723,41046,328
2017-04-07,Internacional,51445,58802,277
2017-04-08,Cabotaje,29264,35553,271
2017-04-08,Internacional,44189,49188,238
2017-04-09,Cabotaje,28823,35819,271
2017-04-09,Internacional,42396,47065,231
2017-04-10,Cabotaje,34210,43501,356
2017-04-10,Internacional,41130,49572,242
2017-04-11,Cabotaje,33192,42449,329
2017-04-11,Internacional,34400,41712,208
2017-04-12,Cabotaje,35694,42946,328
2017-04-12,Internacional,38108,45699,232
2017-04-13,Cabotaje,34766,43174,329
2017-04-13,Internacional,39318,45712,226
2017-04-14,Cabotaje,24540,37512,292
2017-04-14,Internacional,34124,42334,217
2017-04-15,Cabotaje,24069,31682,238
2017-04-15,Internacional,40140,50284,245
2017-04-16,Cabotaje,32587,36954,282
2017-04-16,Internacional,42543,47307,241
2017-04-17,Cabotaje,39865,44938,342
2017-04-17,Internacional,45299,50870,251
2017-04-18,Cabotaje,35327,41866,324
2017-04-18,Internacional,36498,42652,214
2017-04-19,Cabotaje,33797,42081,322
2017-04-19,Internacional,36773,43791,221
2017-04-20,Cabotaje,34564,42929,333
2017-04-20,Internacional,36552,45041,230
2017-04-21,Cabotaje,34375,43776,340
2017-04-21,Internacional,36577,44686,232
2017-04-22,Cabotaje,26209,35138,263
2017-04-22,Internacional,37902,46746,230
2017-04-23,Cabotaje,28079,35628,270
2017-04-23,Internacional,41049,47568,236
2017-04-24,Cabotaje,32687,43622,332
2017-04-24,Internacional,40414,48702,240
2017-04-25,Cabotaje,29385,41295,316
2017-04-25,Internacional,34718,42475,218
2017-04-26,Cabotaje,31531,42218,322
2017-04-26,Internacional,35557,45049,228
2017-04-27,Cabotaje,34080,41655,322
2017-04-27,Internacional,37139,44070,223
2017-04-28,Cabotaje,35181,43816,335
2017-04-28,Internacional,35996,42248,219
2017-04-29,Cabotaje,26394,34576,259
2017-04-29,Internacional,41383,49637,237
2017-04-30,Cabotaje,24177,34908,266
2017-04-30,Internacional,38587,45088,226
2017-05-01,Cabotaje,30044,42693,333
2017-05-01,Internacional,43335,51206,251
2017-05-02,Cabotaje,30245,41266,317
2017-05-02,Internacional,35409,42808,217
2017-05-03,Cabotaje,30105,42314,325
2017-05-03,Internacional,35880,44135,223
2017-05-04,Cabotaje,30486,40476,306
2017-05-04,Internacional,35535,46445,235
2017-05-05,Cabotaje,31131,42602,330
2017-05-05,Internacional,35802,43876,226
2017-05-06,Cabotaje,23053,34747,261
2017-05-06,Internacional,36482,46820,229
2017-05-07,Cabotaje,26281,34875,262
2017-05-07,Internacional,37240,43935,226
2017-05-08,Cabotaje,29995,43010,336
2017-05-08,Internacional,41086,50903,251
2017-05-09,Cabotaje,26304,40906,314
2017-05-09,Internacional,31624,41776,213
2017-05-10,Cabotaje,28611,42343,323
2017-05-10,Internacional,34383,44784,229
2017-05-11,Cabotaje,30843,41125,320
2017-05-11,Internacional,34608,44600,228
2017-05-12,Cabotaje,32681,42306,328
2017-05-12,Internacional,37110,44244,226
2017-05-13,Cabotaje,23876,34324,259
2017-05-13,Internacional,38214,48284,235
2017-05-14,Cabotaje,26265,34461,261
2017-05-14,Internacional,38524,45353,231
2017-05-15,Cabotaje,32982,42445,329
2017-05-15,Internacional,40310,49150,243
2017-05-16,Cabotaje,27764,40990,311
2017-05-16,Internacional,33742,43130,219
2017-05-17,Cabotaje,29221,42198,324
2017-05-17,Internacional,34665,44817,225
2017-05-18,Cabotaje,30481,40628,312
2017-05-18,Internacional,36207,45797,231
2017-05-19,Cabotaje,33424,42736,336
2017-05-19,Internacional,37004,43130,222
2017-05-20,Cabotaje,25385,34588,264
2017-05-20,Internacional,39172,48021,233
2017-05-21,Cabotaje,27072,35500,266
2017-05-21,Internacional,38987,44980,229
2017-05-22,Cabotaje,30574,41046,322
2017-05-22,Internacional,42056,50756,254
2017-05-23,Cabotaje,29027,41825,323
2017-05-23,Internacional,33395,42376,215
2017-05-24,Cabotaje,32958,42150,327
2017-05-24,Internacional,35936,43616,219
2017-05-25,Cabotaje,30348,42082,329
2017-05-25,Internacional,38213,46246,236
2017-05-26,Cabotaje,24960,41538,328
2017-05-26,Internacional,35093,42991,222
2017-05-27,Cabotaje,22272,34025,257
2017-05-27,Internacional,37373,47128,229
2017-05-28,Cabotaje,29610,35910,268
2017-05-28,Internacional,38464,44820,229
2017-05-29,Cabotaje,34627,43022,336
2017-05-29,Internacional,41242,50160,248
2017-05-30,Cabotaje,28096,40527,308
2017-05-30,Internacional,32301,42133,215
2017-05-31,Cabotaje,28032,38959,301
2017-05-31,Internacional,33677,43573,221
2017-06-01,Cabotaje,26988,38179,297
2017-06-01,Internacional,35622,44838,229
2017-06-02,Cabotaje,29955,43365,337
2017-06-02,Internacional,34897,42920,219
2017-06-03,Cabotaje,21650,33883,256
2017-06-03,Internacional,36783,48068,232
2017-06-04,Cabotaje,25023,34921,263
2017-06-04,Internacional,38119,46314,235
2017-06-05,Cabotaje,28736,42585,330
2017-06-05,Internacional,38947,50153,248
2017-06-06,Cabotaje,24732,40900,312
2017-06-06,Internacional,30887,42789,219
2017-06-07,Cabotaje,26678,41618,325
2017-06-07,Internacional,30783,42339,215
2017-06-08,Cabotaje,29755,40278,312
2017-06-08,Internacional,34946,46028,230
2017-06-09,Cabotaje,31835,42855,331
2017-06-09,Internacional,34778,42814,218
2017-06-10,Cabotaje,23289,34112,258
2017-06-10,Internacional,37289,48429,236
2017-06-11,Cabotaje,25946,35392,264
2017-06-11,Internacional,37463,45922,235
2017-06-12,Cabotaje,30256,42674,337
2017-06-12,Internacional,38343,49398,246
2017-06-13,Cabotaje,24836,38473,301
2017-06-13,Internacional,32982,44505,223
2017-06-14,Cabotaje,30162,41574,315
2017-06-14,Internacional,33692,43520,220
2017-06-15,Cabotaje,31876,40539,313
2017-06-15,Internacional,36293,45274,230
2017-06-16,Cabotaje,33422,40885,328
2017-06-16,Internacional,35499,42550,219
2017-06-17,Cabotaje,27302,33533,258
2017-06-17,Internacional,38797,48219,235
2017-06-18,Cabotaje,26138,35569,271
2017-06-18,Internacional,37881,45019,229
2017-06-19,Cabotaje,27489,43618,334
2017-06-19,Internacional,37583,48064,238
2017-06-20,Cabotaje,30830,42017,319
2017-06-20,Internacional,34623,43893,221
2017-06-21,Cabotaje,32068,42981,333
2017-06-21,Internacional,34859,44928,226
2017-06-22,Cabotaje,30595,41417,318
2017-06-22,Internacional,35308,45734,231
2017-06-23,Cabotaje,33060,42961,334
2017-06-23,Internacional,34821,42614,221
2017-06-24,Cabotaje,25536,34295,258
2017-06-24,Internacional,37981,47834,231
2017-06-25,Cabotaje,26091,33858,255
2017-06-25,Internacional,38143,46331,236
2017-06-26,Cabotaje,31721,42612,330
2017-06-26,Internacional,40255,49624,247
2017-06-27,Cabotaje,28494,40525,312
2017-06-27,Internacional,33152,43281,217
2017-06-28,Cabotaje,30227,41269,315
2017-06-28,Internacional,34262,44231,222
2017-06-29,Cabotaje,31535,39174,307
2017-06-29,Internacional,37770,47095,241
2017-06-30,Cabotaje,34793,42883,332
2017-06-30,Internacional,35836,42943,225
2017-07-01,Cabotaje,29781,40683,310
2017-07-01,Internacional,41411,51602,254
2017-07-02,Cabotaje,30128,40766,317
2017-07-02,Internacional,40261,50489,261
2017-07-03,Cabotaje,33563,48197,373
2017-07-03,Internacional,38570,51125,261
2017-07-04,Cabotaje,31084,46185,346
2017-07-04,Internacional,35589,49149,252
2017-07-05,Cabotaje,33404,47405,366
2017-07-05,Internacional,35841,47910,246
2017-07-06,Cabotaje,35867,47498,358
2017-07-06,Internacional,39442,51697,264
2017-07-07,Cabotaje,37843,47823,370
2017-07-07,Internacional,36234,45237,238
2017-07-08,Cabotaje,33154,41663,316
2017-07-08,Internacional,44698,55760,276
2017-07-09,Cabotaje,33370,42957,324
2017-07-09,Internacional,42356,51261,263
2017-07-10,Cabotaje,39481,50570,385
2017-07-10,Internacional,41171,52023,266
2017-07-11,Cabotaje,37950,49301,374
2017-07-11,Internacional,39352,51603,265
2017-07-12,Cabotaje,39638,49202,367
2017-07-12,Internacional,37608,47004,243
2017-07-13,Cabotaje,39771,48853,377
2017-07-13,Internacional,43373,54264,275
2017-07-14,Cabotaje,37266,44113,342
2017-07-14,Internacional,39043,45869,244
2017-07-15,Cabotaje,28879,34336,267
2017-07-15,Internacional,47605,55288,274
2017-07-16,Cabotaje,36688,41647,315
2017-07-16,Internacional,45634,52244,270
2017-07-17,Cabotaje,40405,47948,376
2017-07-17,Internacional,45450,53186,265
2017-07-18,Cabotaje,37682,46963,361
2017-07-18,Internacional,41699,50062,253
2017-07-19,Cabotaje,42221,51003,394
2017-07-19,Internacional,41300,48472,243
2017-07-20,Cabotaje,41244,50813,391
2017-07-20,Internacional,45327,52368,264
2017-07-21,Cabotaje,41407,49912,376
2017-07-21,Internacional,41190,47334,246
2017-07-22,Cabotaje,38188,45694,343
2017-07-22,Internacional,48216,55526,278
2017-07-23,Cabotaje,36951,44385,329
2017-07-23,Internacional,45728,51602,269
2017-07-24,Cabotaje,42316,51263,391
2017-07-24,Internacional,45010,52068,260
2017-07-25,Cabotaje,40475,50743,383
2017-07-25,Internacional,40809,48771,249
2017-07-26,Cabotaje,38786,48914,377
2017-07-26,Internacional,41191,48965,249
2017-07-27,Cabotaje,40839,50706,388
2017-07-27,Internacional,43010,52753,268
2017-07-28,Cabotaje,40298,49988,377
2017-07-28,Internacional,39440,46728,245
2017-07-29,Cabotaje,36634,44864,330
2017-07-29,Internacional,46011,55307,276
2017-07-30,Cabotaje,36163,44684,333
2017-07-30,Internacional,44391,51916,272
2017-07-31,Cabotaje,40024,51033,389
2017-07-31,Internacional,42017,52272,262
2017-08-01,Cabotaje,36947,49892,369
2017-08-01,Internacional,39703,48411,246
2017-08-02,Cabotaje,36961,50448,372
2017-08-02,Internacional,37386,46532,237
2017-08-03,Cabotaje,37048,50103,374
2017-08-03,Internacional,39190,48836,250
2017-08-04,Cabotaje,39736,50879,390
2017-08-04,Internacional,38449,46687,243
2017-08-05,Cabotaje,33867,43947,329
2017-08-05,Internacional,42745,52796,264
2017-08-06,Cabotaje,34868,44409,331
2017-08-06,Internacional,40839,49660,257
2017-08-07,Cabotaje,38673,51054,381
2017-08-07,Internacional,40362,50635,260
2017-08-08,Cabotaje,34630,49592,367
2017-08-08,Internacional,36256,47202,244
2017-08-09,Cabotaje,36510,51064,384
2017-08-09,Internacional,35729,45532,236
2017-08-10,Cabotaje,36894,49537,369
2017-08-10,Internacional,38282,48451,251
2017-08-11,Cabotaje,38372,50632,377
2017-08-11,Internacional,39245,47051,246
2017-08-12,Cabotaje,33049,43444,324
2017-08-12,Internacional,43792,53177,263
2017-08-13,Cabotaje,32350,43693,321
2017-08-13,Internacional,41233,49461,259
2017-08-14,Cabotaje,38648,52079,386
2017-08-14,Internacional,40000,50299,259
2017-08-15,Cabotaje,34795,48680,366
2017-08-15,Internacional,38091,47339,241
2017-08-16,Cabotaje,38336,50306,374
2017-08-16,Internacional,37510,47204,242
2017-08-17,Cabotaje,35987,44713,346
2017-08-17,Internacional,38910,48764,250
2017-08-18,Cabotaje,44670,52406,398
2017-08-18,Internacional,39020,46482,246
2017-08-19,Cabotaje,35882,44865,335
2017-08-19,Internacional,42314,53044,265
2017-08-20,Cabotaje,32369,43957,323
2017-08-20,Internacional,41126,48688,257
2017-08-21,Cabotaje,41297,52528,393
2017-08-21,Internacional,43164,51629,262
2017-08-22,Cabotaje,39248,50200,364
2017-08-22,Internacional,37291,46829,243
2017-08-23,Cabotaje,40451,51392,384
2017-08-23,Internacional,36431,47055,241
2017-08-24,Cabotaje,39432,50683,380
2017-08-24,Internacional,38103,49433,255
2017-08-25,Cabotaje,38033,48084,366
2017-08-25,Internacional,38132,47511,252
2017-08-26,Cabotaje,34608,44832,335
2017-08-26,Internacional,40242,51664,256
2017-08-27,Cabotaje,34074,44378,332
2017-08-27,Internacional,41339,48901,256
2017-08-28,Cabotaje,37093,48993,372
2017-08-28,Internacional,38882,49246,255
2017-08-29,Cabotaje,33633,47603,365
2017-08-29,Internacional,35257,46736,241
2017-08-30,Cabotaje,35532,48613,365
2017-08-30,Internacional,35623,47075,244
2017-08-31,Cabotaje,36734,48304,365
2017-08-31,Internacional,39457,50507,258
2017-09-01,Cabotaje,37074,49143,364
2017-09-01,Internacional,38241,45863,239
2017-09-02,Cabotaje,32455,43282,329
2017-09-02,Internacional,41841,52589,258
2017-09-03,Cabotaje,31554,40524,306
2017-09-03,Internacional,41155,48602,252
2017-09-04,Cabotaje,39105,50457,370
2017-09-04,Internacional,38788,49167,253
2017-09-05,Cabotaje,34339,48587,362
2017-09-05,Internacional,36543,47052,242
2017-09-06,Cabotaje,25229,32422,248
2017-09-06,Internacional,34397,44903,226
2017-09-07,Cabotaje,42906,50251,371
2017-09-07,Internacional,40086,50205,258
2017-09-08,Cabotaje,41818,49734,369
2017-09-08,Internacional,37370,45838,244
2017-09-09,Cabotaje,35534,44038,321
2017-09-09,Internacional,38123,48466,246
2017-09-10,Cabotaje,32982,42638,310
2017-09-10,Internacional,41196,48939,260
2017-09-11,Cabotaje,42925,52598,392
2017-09-11,Internacional,39160,47744,249
2017-09-12,Cabotaje,38197,50263,370
2017-09-12,Internacional,37934,47312,249
2017-09-13,Cabotaje,39660,50173,369
2017-09-13,Internacional,37136,46630,244
2017-09-14,Cabotaje,40682,50725,371
2017-09-14,Internacional,44344,51752,266
2017-09-15,Cabotaje,41156,50000,373
2017-09-15,Internacional,40889,46420,249
2017-09-16,Cabotaje,36163,44180,325
2017-09-16,Internacional,45003,52286,260
2017-09-17,Cabotaje,36698,43716,321
2017-09-17,Internacional,43369,49888,264
2017-09-18,Cabotaje,41538,50217,371
2017-09-18,Internacional,41709,50524,262
2017-09-19,Cabotaje,38619,50420,375
2017-09-19,Internacional,40177,48987,253
2017-09-20,Cabotaje,39989,51056,377
2017-09-20,Internacional,38233,46688,244
2017-09-21,Cabotaje,40509,49153,362
2017-09-21,Internacional,39736,49371,257
2017-09-22,Cabotaje,41653,50934,380
2017-09-22,Internacional,38723,46708,248
2017-09-23,Cabotaje,33817,42114,314
2017-09-23,Internacional,43446,51953,261
2017-09-24,Cabotaje,35976,43712,321
2017-09-24,Internacional,43097,49841,263
2017-09-25,Cabotaje,41373,49988,375
2017-09-25,Internacional,41178,50593,261
2017-09-26,Cabotaje,38780,48988,363
2017-09-26,Internacional,37263,48128,251
2017-09-27,Cabotaje,39332,49866,378
2017-09-27,Internacional,35720,45912,242
2017-09-28,Cabotaje,39572,48478,360
2017-09-28,Internacional,40737,51244,266
2017-09-29,Cabotaje,41131,50141,380
2017-09-29,Internacional,38530,45704,248
2017-09-30,Cabotaje,33518,42785,318
2017-09-30,Internacional,44354,52086,258
2017-10-01,Cabotaje,32626,39697,302
2017-10-01,Internacional,42712,48273,254
2017-10-02,Cabotaje,41208,51194,381
2017-10-02,Internacional,41518,51021,262
2017-10-03,Cabotaje,37583,49806,372
2017-10-03,Internacional,37428,48331,251
2017-10-04,Cabotaje,39472,50395,380
2017-10-04,Internacional,36201,46473,244
2017-10-05,Cabotaje,40803,50105,384
2017-10-05,Internacional,41867,52117,270
2017-10-06,Cabotaje,42421,50402,387
2017-10-06,Internacional,41205,48151,258
2017-10-07,Cabotaje,34369,42275,318
2017-10-07,Internacional,46163,55878,279
2017-10-08,Cabotaje,35658,43647,325
2017-10-08,Internacional,42364,49627,260
2017-10-09,Cabotaje,40110,49529,369
2017-10-09,Internacional,41917,51139,265
2017-10-10,Cabotaje,39135,49133,370
2017-10-10,Internacional,39391,49722,260
2017-10-11,Cabotaje,41975,50807,376
2017-10-11,Internacional,36742,46683,245
2017-10-12,Cabotaje,41997,49788,372
2017-10-12,Internacional,43500,53612,275
2017-10-13,Cabotaje,34807,38795,288
2017-10-13,Internacional,39507,45492,240
2017-10-14,Cabotaje,37961,43465,329
2017-10-14,Internacional,47037,55162,272
2017-10-15,Cabotaje,32504,43074,322
2017-10-15,Internacional,42908,50818,267
2017-10-16,Cabotaje,39700,49987,375
2017-10-16,Internacional,43652,50548,261
2017-10-17,Cabotaje,40668,49572,372
2017-10-17,Internacional,40940,49792,261
2017-10-18,Cabotaje,38634,48519,373
2017-10-18,Internacional,34279,43711,229
2017-10-19,Cabotaje,39645,48832,369
2017-10-19,Internacional,42844,54176,276
2017-10-20,Cabotaje,38895,50996,385
2017-10-20,Internacional,39231,47798,256
2017-10-21,Cabotaje,31392,43776,323
2017-10-21,Internacional,42170,53304,267
2017-10-22,Cabotaje,32331,43944,321
2017-10-22,Internacional,41651,49422,260
2017-10-23,Cabotaje,35261,46732,353
2017-10-23,Internacional,39900,50438,260
2017-10-24,Cabotaje,38128,48958,362
2017-10-24,Internacional,35608,48769,253
2017-10-25,Cabotaje,39142,50531,373
2017-10-25,Internacional,35795,46051,240
2017-10-26,Cabotaje,39113,47550,362
2017-10-26,Internacional,40285,51611,270
2017-10-27,Cabotaje,42144,50248,381
2017-10-27,Internacional,37093,45519,245
2017-10-28,Cabotaje,32592,42417,321
2017-10-28,Internacional,41876,52973,265
2017-10-29,Cabotaje,34336,42948,318
2017-10-29,Internacional,40207,49095,260
2017-10-30,Cabotaje,42034,47040,351
2017-10-30,Internacional,39380,49089,250
2017-10-31,Cabotaje,11346,12602,83
2017-10-31,Internacional,28367,35888,180
2017-11-01,Cabotaje,40162,44626,337
2017-11-01,Internacional,39404,47118,240
2017-11-02,Cabotaje,40916,47011,345
2017-11-02,Internacional,39972,51000,264
2017-11-03,Cabotaje,40967,50291,380
2017-11-03,Internacional,39545,48887,258
2017-11-04,Cabotaje,33077,43405,318
2017-11-04,Internacional,40698,51370,260
2017-11-05,Cabotaje,34099,42455,310
2017-11-05,Internacional,43116,52258,266
2017-11-06,Cabotaje,41124,49633,366
2017-11-06,Internacional,41894,51790,263
2017-11-07,Cabotaje,37723,45984,339
2017-11-07,Internacional,35236,48481,252
2017-11-08,Cabotaje,38644,48347,354
2017-11-08,Internacional,35614,48014,247
2017-11-09,Cabotaje,39868,47795,352
2017-11-09,Internacional,39569,51185,266
2017-11-10,Cabotaje,42014,49829,374
2017-11-10,Internacional,39695,47349,243
2017-11-11,Cabotaje,33841,42048,310
2017-11-11,Internacional,43089,53405,269
2017-11-12,Cabotaje,36140,43708,319
2017-11-12,Internacional,43428,52032,265
2017-11-13,Cabotaje,40803,47808,356
2017-11-13,Internacional,40979,51230,262
2017-11-14,Cabotaje,40848,47812,356
2017-11-14,Internacional,36775,48208,251
2017-11-15,Cabotaje,40596,46790,349
2017-11-15,Internacional,37587,46596,242
2017-11-16,Cabotaje,43351,48405,364
2017-11-16,Internacional,43214,52220,267
2017-11-17,Cabotaje,43743,50447,381
2017-11-17,Internacional,41538,48763,256
2017-11-18,Cabotaje,35295,43662,323
2017-11-18,Internacional,44282,53237,271
2017-11-19,Cabotaje,33288,43537,319
2017-11-19,Internacional,42855,52278,264
2017-11-20,Cabotaje,39462,49188,365
2017-11-20,Internacional,43508,52029,267
2017-11-21,Cabotaje,40290,48767,364
2017-11-21,Internacional,40083,49515,261
2017-11-22,Cabotaje,41248,50439,374
2017-11-22,Internacional,37175,47614,248
2017-11-23,Cabotaje,40811,49662,368
2017-11-23,Internacional,39506,50506,264
2017-11-24,Cabotaje,41941,50284,378
2017-11-24,Internacional,38311,48554,254
2017-11-25,Cabotaje,34280,43004,312
2017-11-25,Internacional,41809,53654,269
2017-11-26,Cabotaje,35438,43925,321
2017-11-26,Internacional,43702,53053,272
2017-11-27,Cabotaje,40890,50070,375
2017-11-27,Internacional,42279,52154,267
2017-11-28,Cabotaje,37505,47401,358
